Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	muNeo	rate01	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	scale	stationaryDist[1]	stationaryDist[2]	tree_length
0	-2378.395	-2449.409	71.01348	0.0594304	0.0602725	0.0110917	0.0311441	0.0339784	0.0651287	0.0273899	0.0170426	0.0354273	0.0200627	0.0308602	0.0635116	0.0310014	0.0177808	0.00197273	0.0244157	0.0194604	0.0445065	0.0186287	0.0178767	0.0279047	0.0162496	0.00525234	0.00125611	0.0109993	0.00603384	0.00362734	0.0157254	0.00781663	0.00261312	0.00525903	0.00128361	0.00990295	0.0166992	0.00462545	0.0231406	0.010726	0.00871547	0.0147364	0.00150475	0.00764159	0.0416065	0.000310313	0.00871017	0.0416085	0.00818737	0.012904	0.103985	0.0238132	0.00665223	0.105371	0.9824987	0.9655995	0.069633	0.27267	0.666698	1.49993	3.66743	14.361	1.926629	0.0501165	0.0508266	0.00935343	0.0262632	0.0286533	0.0549218	0.0230974	0.0143717	0.0298752	0.0169185	0.0260238	0.0535581	0.0261429	0.0149942	0.00166357	0.0205893	0.0164106	0.0375315	0.0157092	0.0150751	0.0235315	0.013703	0.0044292	0.00105925	0.00927547	0.00508822	0.00305887	0.0132609	0.00659161	0.00220359	0.00443484	0.00108244	0.00835097	0.0140822	0.00390055	0.0195141	0.009045	0.00734959	0.0124269	0.00126893	0.00644401	0.0350859	0.000261681	0.00734512	0.0350877	0.00690426	0.0108817	0.0876887	0.0200812	0.00560969	0.0888572	1.00649	0.508751	0.491249	1.185845
36	-2380.901	-2451.28	70.37984	0.140098	0.0748704	0.0313766	0.0923555	0.0899918	0.135841	0.027134	0.00243483	0.0278993	0.0458808	0.0806417	0.116247	0.0217646	0.0208815	0.0120341	0.032144	0.0230298	0.0899515	0.0248274	0.0429648	0.038756	0.0219644	0.00695788	0.0426371	0.019807	0.0143806	0.01573	0.00909653	0.0451908	0.0150108	0.0287765	6.06279e-05	0.00122828	0.000369663	0.0437572	0.0205046	0.0285145	0.0438899	0.00762155	0.269212	0.013939	0.0200914	0.0151922	0.0219814	0.0107397	0.0168687	0.0474795	0.0512105	0.0368561	0.0275279	0.153638	0.7663004	0.6211402	0.12053	0.356326	0.724744	1.3798	2.80642	8.29672	1.529913	0.0630685	0.0337048	0.014125	0.0415761	0.0405121	0.0611521	0.0122151	0.0010961	0.0125596	0.0206544	0.0363029	0.0523315	0.00979789	0.00940034	0.00541747	0.0144704	0.0103674	0.0404939	0.0111767	0.0193417	0.017447	0.00988781	0.00313226	0.0191942	0.00891662	0.0064738	0.00708124	0.00409503	0.0203438	0.0067575	0.0129545	2.72932e-05	0.000552943	0.000166413	0.0196984	0.00923068	0.0128365	0.0197581	0.00343103	0.121192	0.00627497	0.00904465	0.00683914	0.00989548	0.00483476	0.00759386	0.0213741	0.0230537	0.0165917	0.0123924	0.069164	1.094211	0.61685	0.38315	2.221358
72	-2373.363	-2444.541	71.17739	0.0678713	0.0730697	0.00768797	0.0423179	0.0592144	0.0720658	0.0509952	0.0114942	0.0316976	0.0173914	0.0407822	0.124381	0.0146315	0.014206	0.00531766	0.0060177	0.00920854	0.0626647	0.0257472	0.0144545	0.0150543	0.0248691	0.018248	0.00527725	0.00907323	0.0138507	0.00412333	0.000928938	0.00809345	0.0416414	0.0236384	0.0109831	0.0126171	0.00900367	0.00678502	0.00917023	0.00926059	0.00211902	0.00575108	0.00193031	0.0169882	0.0183853	0.00030356	0.00450764	0.0254249	0.0128694	0.00816051	0.123174	0.0402966	0.0210093	0.0713207	0.8477163	0.7356837	0.0769533	0.286293	0.676916	1.47729	3.49293	12.9949	1.854351	0.0511821	0.0551023	0.00579754	0.0319121	0.0446539	0.0543452	0.0384558	0.00866785	0.0239034	0.013115	0.0307541	0.0937962	0.0110337	0.0107128	0.00401008	0.00453798	0.00694421	0.0472558	0.0194161	0.0109002	0.0113525	0.0187539	0.0137609	0.0039796	0.00684217	0.0104449	0.00310943	0.000700517	0.00610332	0.031402	0.0178259	0.00828244	0.00951463	0.00678972	0.00511662	0.00691532	0.00698346	0.00159796	0.00433692	0.00145566	0.0128109	0.0138645	0.000228916	0.00339923	0.019173	0.00970488	0.00615389	0.092886	0.0303879	0.0158432	0.0537834	1.059439	0.576142	0.423858	1.326074
108	-2366.825	-2436.924	70.09899	0.116416	0.128574	0.0351158	0.0401176	0.0850207	0.118181	0.0620456	0.0307114	0.101956	0.0229901	0.0685979	0.213344	0.0219173	0.0293694	0.0078628	0.0155085	0.0137653	0.0720918	0.0497212	0.00984138	0.0163142	0.0278869	0.0136324	0.0137887	0.0287518	0.00129952	0.0031598	0.0346247	0.00452058	0.0400882	0.0376172	0.0140662	0.00396471	0.00903175	0.0588441	0.0335028	0.0154245	0.00918003	0.0428793	0.00238677	0.0196953	0.0443108	0.00177054	0.0433334	0.0580449	0.0168398	0.0165363	0.178237	0.0726888	0.0286747	0.129478	0.8584083	0.7519399	0.113713	0.34635	0.718352	1.39208	2.88725	8.79409	1.57201	0.051427	0.0567976	0.0155124	0.017722	0.0375579	0.0522064	0.0274087	0.0135668	0.045039	0.0101559	0.0303031	0.094245	0.00968199	0.0129739	0.00347339	0.00685086	0.00608084	0.0318466	0.0219644	0.00434744	0.00720678	0.012319	0.00602211	0.00609116	0.0127011	0.000574065	0.00139584	0.0152955	0.00199697	0.017709	0.0166174	0.00621375	0.00175141	0.00398978	0.0259944	0.0147999	0.00681379	0.00405528	0.018942	0.00105436	0.0087004	0.0195743	0.000782136	0.0191425	0.0256413	0.00743899	0.0073049	0.0787365	0.0321103	0.0126671	0.0571969	1.055036	0.570796	0.429204	2.263722
144	-2374.562	-2443.756	69.19327	0.16989	0.135017	0.0339022	0.106256	0.147905	0.0905042	0.0655427	0.0280212	0.0838975	0.0398875	0.0719501	0.129502	0.0238701	0.0294754	0.00932889	0.0216982	0.0251201	0.0607873	0.0295677	0.0472097	0.0368894	0.0120843	0.016477	0.00385696	0.012088	0.00615822	0.0013233	0.00355564	0.0148987	0.0225677	0.0675732	0.0263751	0.010522	0.0113504	0.0304768	0.0714466	0.0135546	0.0414981	0.0142674	0.343195	0.00822366	0.0524901	0.0346692	0.00490085	0.0424941	0.00192045	0.0716202	0.0698358	0.0577175	0.0223141	0.250659	0.9400223	0.8868322	0.112183	0.34407	0.716873	1.39495	2.90639	8.91402	1.581804	0.0623145	0.0495232	0.0124351	0.038974	0.0542504	0.0331963	0.0240406	0.010278	0.030773	0.0146304	0.0263908	0.0475005	0.00875539	0.0108113	0.00342177	0.00795874	0.00921387	0.0222963	0.0108452	0.0173162	0.0135307	0.00443242	0.00604364	0.00141471	0.00443377	0.00225879	0.000485377	0.00130418	0.00546472	0.00827766	0.0247853	0.00967421	0.00385939	0.00416323	0.0111787	0.0262061	0.00497174	0.0152212	0.00523319	0.125881	0.00301638	0.019253	0.0127164	0.0017976	0.0155865	0.000704407	0.0262697	0.0256153	0.0211703	0.00818464	0.0919399	1.022596	0.529989	0.470011	2.726336
180	-2367.376	-2438.44	71.06422	0.0694496	0.0957348	0.0234878	0.0309214	0.0709212	0.0752464	0.0106669	0.0242045	0.0498652	0.0185639	0.0400946	0.0698176	0.0122723	0.0116301	0.011097	0.0167365	0.011798	0.0401799	0.0256081	0.0223528	0.0159331	0.0140783	0.00718688	0.00315975	0.0132729	0.00123736	0.00692734	0.0469301	0.00161235	0.0200785	0.00529936	0.00720972	0.128464	0.00464109	0.0283007	0.00756748	0.00317215	0.0147769	0.00432489	0.00750165	0.00712159	0.0116962	0.048007	0.0258738	0.0222985	0.0214442	0.00146287	0.00263525	0.127232	0.00932222	0.00796924	0.8659	0.7635129	0.0728687	0.278778	0.671322	1.4896	3.58708	13.7233	1.893787	0.0511642	0.0705288	0.0173037	0.0227801	0.0522484	0.0554348	0.00785841	0.0178317	0.0367362	0.0136762	0.0295381	0.0514354	0.00904113	0.00856802	0.00817527	0.01233	0.00869169	0.0296009	0.0188658	0.0164675	0.0117381	0.0103716	0.00529465	0.00232782	0.00977829	0.000911575	0.00510344	0.0345739	0.00118784	0.014792	0.00390409	0.00531147	0.0946406	0.00341914	0.0208495	0.00557504	0.00233696	0.0108863	0.00318619	0.00552654	0.00524655	0.00861668	0.0353672	0.0190615	0.0164275	0.0157982	0.00107771	0.00194142	0.0937331	0.00686777	0.00587102	1.051973	0.56705	0.43295	1.357386
216	-2371.447	-2441.556	70.10963	0.15391	0.0609605	0.0343942	0.0629842	0.0554653	0.214822	0.0406802	0.0139084	0.0571936	0.030466	0.102216	0.0534339	0.0120604	0.033562	0.0104919	0.0247355	0.0139061	0.0604358	0.0329307	0.0442891	0.027196	0.0159059	0.0352084	0.00255999	0.0134777	0.0041186	0.00513373	0.0609505	0.012848	0.0448014	0.0191516	0.0327924	0.150532	0.00241422	0.0776679	0.00933755	0.00431673	0.0315276	0.0748232	0.0281331	0.00729159	0.0447456	0.01977	0.00847102	0.0277033	0.0143568	0.00472153	0.0208132	0.219938	0.0210503	0.0372149	0.9082476	0.8319172	0.112813	0.345012	0.717485	1.39376	2.89845	8.8642	1.577751	0.0702201	0.0278127	0.0156921	0.028736	0.0253056	0.098011	0.01856	0.00634561	0.0260941	0.0138999	0.0466352	0.0243788	0.00550246	0.0153124	0.00478684	0.0112854	0.00634455	0.0275734	0.0150244	0.0202065	0.012408	0.00725693	0.0160636	0.00116797	0.00614907	0.00187908	0.00234222	0.0278082	0.00586178	0.0204403	0.00873777	0.0149613	0.0686791	0.00110147	0.0354354	0.00426018	0.00196947	0.0143842	0.0341375	0.0128355	0.00332673	0.0204148	0.00901989	0.00386483	0.0126394	0.00655019	0.00215416	0.00949586	0.100345	0.00960401	0.016979	1.034986	0.545876	0.454124	2.191819
252	-2376.683	-2446.578	69.89506	0.120888	0.0758158	0.00846469	0.0609261	0.0588768	0.133955	0.0546766	0.00557079	0.0549673	0.0472045	0.105764	0.084022	0.036441	0.0181705	0.00159908	0.0271018	0.00498819	0.062101	0.0716707	0.0180734	0.00410156	0.0219404	0.0076263	0.0246779	0.0281215	0.00403753	0.00650798	0.0420467	0.00379715	0.0577527	0.0194082	0.0921706	0.219476	0.00395028	0.00645028	0.0155165	0.00061926	0.0423024	0.0713331	0.0116987	0.0115769	0.0224503	0.0522239	0.013445	0.0235068	0.038436	0.0122425	0.0285911	0.313222	0.00258839	0.0128829	0.8057267	0.6746586	0.0751315	0.282967	0.674453	1.48268	3.53398	13.31	1.871674	0.053349	0.0334583	0.00373556	0.0268873	0.0259829	0.0591159	0.0241294	0.00245845	0.0242576	0.0208319	0.0466748	0.0370798	0.0160818	0.00801882	0.000705689	0.0119603	0.00220134	0.0274058	0.031629	0.00797599	0.00181006	0.00968252	0.00336557	0.0108906	0.0124103	0.0017818	0.00287204	0.0185556	0.00167572	0.0254869	0.00856504	0.0406758	0.0968572	0.0017433	0.00284657	0.00684759	0.000273286	0.0186685	0.03148	0.00516275	0.00510902	0.00990756	0.0230469	0.00593342	0.0103738	0.0169622	0.00540276	0.0126176	0.138228	0.00114228	0.00568536	1.077092	0.597137	0.402863	2.265979
288	-2373.044	-2444.32	71.2759	0.0333693	0.0648301	0.0137331	0.0241883	0.0497774	0.0832078	0.0395383	0.00740093	0.0399868	0.0252952	0.0326121	0.0419649	0.0149528	0.00888237	0.00528296	0.0151332	0.00888689	0.0441175	0.0240942	0.0143939	0.0189533	0.012378	0.00551278	0.0232116	0.00832354	0.00357704	0.00945029	0.000704579	0.0324496	0.00988512	0.00429093	0.00177196	0.00370336	0.00849093	0.00321954	0.111367	0.00727122	0.0292309	0.0226468	0.00208658	0.0134544	0.0133548	0.00210868	0.027046	0.0331383	0.0158337	0.031252	0.00635166	0.0747772	0.00091158	0.00667274	0.8835946	0.791464	0.0708429	0.274971	0.668448	1.496	3.63675	14.1157	1.914174	0.0293983	0.0571152	0.0120989	0.0213099	0.0438538	0.073306	0.0348332	0.00652022	0.0352283	0.022285	0.0287313	0.036971	0.0131734	0.00782536	0.00465429	0.0133323	0.00782935	0.0388675	0.021227	0.012681	0.0166978	0.010905	0.00485675	0.0204494	0.00733303	0.00315137	0.0083257	0.000620733	0.028588	0.00870878	0.0037803	0.0015611	0.00326266	0.0074805	0.00283641	0.0981146	0.00640594	0.0257524	0.0199518	0.00183828	0.0118533	0.0117656	0.00185774	0.0238275	0.0291948	0.0139494	0.027533	0.00559581	0.0658787	0.000803101	0.00587868	1.044808	0.558203	0.441797	1.135075
324	-2371.3	-2440.588	69.28749	0.127592	0.126488	0.0177501	0.0449963	0.0657705	0.167456	0.0721142	0.0272565	0.0642639	0.035036	0.11761	0.108726	0.0276416	0.0430396	0.00902779	0.0330234	0.00397911	0.0992056	0.0667294	0.0259227	0.0193855	0.0240281	0.00771588	0.067841	0.014335	0.0327494	0.00470322	0.000733349	0.0318937	0.0312301	0.00555576	0.0230548	0.00328385	0.0246086	0.0186546	0.188514	0.0169488	0.0491806	0.0241126	0.0125134	0.0136693	0.0204637	0.004131	0.116704	0.0642147	0.0661046	0.0716278	0.104982	0.209035	0.0203624	0.0286673	0.9462241	0.8979367	0.0988577	0.323492	0.703213	1.42205	3.09126	10.1155	1.673234	0.0489864	0.0485626	0.00681482	0.0172755	0.0252514	0.0642917	0.0276869	0.0104646	0.0246729	0.0134514	0.0451542	0.0417432	0.0106125	0.0165243	0.00346605	0.0126787	0.00152771	0.0380882	0.0256195	0.00995254	0.00744272	0.00922513	0.00296237	0.0260463	0.00550364	0.0125735	0.00180571	0.000281556	0.012245	0.0119902	0.00213303	0.00885145	0.00126077	0.00944803	0.00716208	0.0723765	0.00650718	0.018882	0.00925758	0.00480431	0.00524807	0.00785665	0.00158602	0.0448064	0.024654	0.0253796	0.0275002	0.0403059	0.0802549	0.00781777	0.0110063	1.020213	0.526888	0.473112	2.604631
